Empresa,Receita Anual,Dívida Total,Prazo de Pagamento (dias),Setor,Rating,Notícias Recentes
Empresa 686,672912,250092,21,Educação,B-,Cuidado com flutuações nos preços!
Empresa 687,683809,309099,61,Turismo,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 688,707234,391908,93,Transportes,D,Cuidado com flutuações nos preços!
Empresa 689,787315,626357,18,Turismo,D,Oportunidades de parcerias surgindo.
Empresa 690,627836,106942,32,Agronegócio,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 691,718209,145703,106,Indústria,A,Aumento no custo das matérias-primas.
Empresa 692,719593,272256,104,Saúde,B-,Insatisfação de clientes em redes sociais.
Empresa 693,258025,116588,45,Indústria,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 694,539000,527373,77,Tecnologia,C,Expansão em novos mercados anunciada.
Empresa 695,881632,402014,17,Indústria,C-,Concorrente lançou um novo produto.
Empresa 696,910815,299471,95,Indústria,C,Setor afetado por mudanças climáticas.
Empresa 697,494871,550563,39,Saúde,B-,Cuidado com flutuações nos preços!
Empresa 698,441986,297766,31,Comércio,D,Concorrente lançou um novo produto.
Empresa 699,303742,368281,51,Educação,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 700,810192,298321,16,Turismo,A-,Mudanças na legislação para o setor.
Empresa 701,700963,155098,89,Turismo,B+,Setor afetado por mudanças climáticas.
Empresa 702,276034,426518,13,Alimentação,B+,Aumento no custo das matérias-primas.
Empresa 703,521320,349674,31,Educação,C-,Cuidado com flutuações nos preços!
Empresa 704,231123,650036,103,Tecnologia,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 705,128405,573933,31,Educação,C,Setor afetado por mudanças climáticas.
Empresa 706,298617,536028,93,Educação,A+,Insatisfação de clientes em redes sociais.
Empresa 707,831042,292216,33,Saúde,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 708,820858,659953,70,Turismo,C,Inconsistências financeiras apontadas em auditoria.
Empresa 709,371185,697751,98,Serviços,B-,Aumento no custo das matérias-primas.
Empresa 710,963988,691138,63,Transportes,B-,Aumento no custo das matérias-primas.
Empresa 711,630968,506333,119,Alimentação,D,Inconsistências financeiras apontadas em auditoria.
Empresa 712,378099,356758,20,Agronegócio,B-,Insatisfação de clientes em redes sociais.
Empresa 713,653345,426880,85,Comércio,D,Setor afetado por mudanças climáticas.
Empresa 714,801345,275215,43,Tecnologia,B-,Oportunidades de parcerias surgindo.
Empresa 715,878878,190950,13,Turismo,B-,Mudanças na legislação para o setor.
Empresa 716,123858,682776,40,Indústria,C-,Insatisfação de clientes em redes sociais.
Empresa 717,736290,375511,80,Turismo,C-,Setor afetado por mudanças climáticas.
Empresa 718,437642,521453,18,Comércio,A+,Mudanças na legislação para o setor.
Empresa 719,166482,295910,43,Tecnologia,A+,Aumento no custo das matérias-primas.
Empresa 720,573565,458064,25,Tecnologia,A+,Setor afetado por mudanças climáticas.
Empresa 721,539904,578124,45,Alimentação,A+,Cuidado com flutuações nos preços!
Empresa 722,883386,420011,96,Saúde,D,Inconsistências financeiras apontadas em auditoria.
Empresa 723,441134,629533,116,Tecnologia,B-,Setor afetado por mudanças climáticas.
Empresa 724,647284,553083,61,Comércio,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 725,492669,422290,29,Comércio,C+,Mudanças na legislação para o setor.
Empresa 726,604339,118206,68,Educação,D,Aumento no custo das matérias-primas.
Empresa 727,297281,255851,59,Serviços,A,Aumento no custo das matérias-primas.
Empresa 728,400896,267014,51,Indústria,A,Mudanças na legislação para o setor.
Empresa 729,236458,529862,111,Agronegócio,B-,Setor afetado por mudanças climáticas.
Empresa 730,846548,235587,116,Educação,A-,Oportunidades de parcerias surgindo.
Empresa 731,219173,506581,96,Agronegócio,B,Inconsistências financeiras apontadas em auditoria.
Empresa 732,224420,512764,27,Indústria,D,Insatisfação de clientes em redes sociais.
Empresa 733,444231,342040,101,Serviços,C+,Oportunidades de parcerias surgindo.
Empresa 734,839534,468771,86,Transportes,A-,Cuidado com flutuações nos preços!
Empresa 735,590875,374221,76,Saúde,B+,Aumento no custo das matérias-primas.
Empresa 736,379518,387670,80,Agronegócio,C,Concorrente lançou um novo produto.
Empresa 737,767287,262722,75,Saúde,A,Oportunidades de parcerias surgindo.
Empresa 738,113216,157514,84,Tecnologia,B,Mudanças na legislação para o setor.
Empresa 739,281547,582687,101,Educação,A-,Cuidado com flutuações nos preços!
Empresa 740,931261,569931,76,Agronegócio,B+,Mudanças na legislação para o setor.
Empresa 741,474741,430064,99,Serviços,C+,Oportunidades de parcerias surgindo.
Empresa 742,669296,319915,59,Comércio,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 743,223645,587213,101,Saúde,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 744,506551,452867,117,Turismo,A+,Oportunidades de parcerias surgindo.
Empresa 745,745724,460270,89,Indústria,C+,Setor afetado por mudanças climáticas.
Empresa 746,583737,566003,45,Transportes,A-,Cuidado com flutuações nos preços!
Empresa 747,875131,291953,48,Comércio,B+,Expansão em novos mercados anunciada.
Empresa 748,622400,135803,105,Comércio,B+,Mudanças na legislação para o setor.
Empresa 749,513925,118764,18,Educação,D,Expansão em novos mercados anunciada.
Empresa 750,232440,377396,16,Alimentação,C-,Setor afetado por mudanças climáticas.
Empresa 751,248934,268809,57,Saúde,A,Concorrente lançou um novo produto.
Empresa 752,888493,228628,66,Saúde,B,Insatisfação de clientes em redes sociais.
Empresa 753,383016,415893,116,Indústria,B+,Aumento no custo das matérias-primas.
Empresa 754,333599,604632,73,Indústria,A-,Expansão em novos mercados anunciada.
Empresa 755,597095,623584,100,Turismo,A-,Setor afetado por mudanças climáticas.
Empresa 756,754013,608788,15,Serviços,C+,Oportunidades de parcerias surgindo.
Empresa 757,854549,651803,50,Indústria,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 758,339249,397115,83,Educação,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 759,248036,172827,105,Serviços,B,Inconsistências financeiras apontadas em auditoria.
Empresa 760,943306,125899,111,Serviços,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 761,218160,154489,49,Comércio,C+,Insatisfação de clientes em redes sociais.
Empresa 762,841750,513748,40,Alimentação,C-,Mudanças na legislação para o setor.
Empresa 763,880698,464934,47,Comércio,D,Cuidado com flutuações nos preços!
Empresa 764,809577,207406,66,Alimentação,D,Inconsistências financeiras apontadas em auditoria.
Empresa 765,704644,298748,42,Transportes,B,Oportunidades de parcerias surgindo.
Empresa 766,435856,219662,18,Transportes,B,Inconsistências financeiras apontadas em auditoria.
Empresa 767,825054,539117,39,Alimentação,A,Inconsistências financeiras apontadas em auditoria.
Empresa 768,725197,444225,19,Saúde,B+,Aumento no custo das matérias-primas.
Empresa 769,482261,398242,72,Saúde,C-,Aumento no custo das matérias-primas.
Empresa 770,149776,555326,118,Agronegócio,A+,Concorrente lançou um novo produto.
Empresa 771,540635,149909,100,Comércio,C+,Cuidado com flutuações nos preços!
Empresa 772,610870,304831,102,Tecnologia,C+,Oportunidades de parcerias surgindo.
Empresa 773,726302,481619,114,Serviços,C,Mudanças na legislação para o setor.
Empresa 774,123919,692590,37,Saúde,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 775,525761,188748,34,Serviços,A,Inconsistências financeiras apontadas em auditoria.
Empresa 776,447991,130774,11,Educação,A+,Aumento no custo das matérias-primas.
Empresa 777,968147,385098,37,Educação,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 778,402828,582989,34,Saúde,A,Expansão em novos mercados anunciada.
Empresa 779,388323,142172,18,Agronegócio,A+,Expansão em novos mercados anunciada.
Empresa 780,373347,610986,68,Indústria,B-,Expansão em novos mercados anunciada.
Empresa 781,176883,679736,13,Saúde,B,Setor afetado por mudanças climáticas.
Empresa 782,714708,546228,41,Turismo,D,Setor afetado por mudanças climáticas.
Empresa 783,957485,164823,71,Indústria,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 784,704673,558580,81,Tecnologia,B+,Insatisfação de clientes em redes sociais.
Empresa 785,438273,427821,84,Tecnologia,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 786,150707,259970,48,Transportes,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 787,391598,340115,18,Saúde,B,Inconsistências financeiras apontadas em auditoria.
Empresa 788,127335,254352,54,Indústria,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 789,431966,693678,98,Saúde,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 790,644552,409037,119,Tecnologia,A,Insatisfação de clientes em redes sociais.
Empresa 791,192855,547673,63,Comércio,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 792,626970,265519,62,Educação,A,Setor afetado por mudanças climáticas.
Empresa 793,475409,559988,117,Indústria,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 794,882641,361547,112,Educação,A,Cuidado com flutuações nos preços!
Empresa 795,174166,558653,46,Transportes,B,Setor afetado por mudanças climáticas.
Empresa 796,211788,617634,59,Alimentação,A+,Aumento no custo das matérias-primas.
Empresa 797,576911,552774,26,Tecnologia,C+,Mudanças na legislação para o setor.
Empresa 798,167531,619714,34,Turismo,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 799,997957,287422,64,Indústria,C+,Insatisfação de clientes em redes sociais.
Empresa 800,500026,500693,36,Alimentação,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 801,794619,174119,11,Agronegócio,B,Cuidado com flutuações nos preços!
Empresa 802,326355,349650,29,Transportes,A,Inconsistências financeiras apontadas em auditoria.
Empresa 803,450915,251915,37,Agronegócio,C,Concorrente lançou um novo produto.
Empresa 804,158608,323664,82,Agronegócio,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 805,600472,321319,92,Transportes,B-,Setor afetado por mudanças climáticas.
Empresa 806,474779,621193,79,Alimentação,C-,Setor afetado por mudanças climáticas.
Empresa 807,974117,150977,69,Agronegócio,A,Insatisfação de clientes em redes sociais.
Empresa 808,670467,201530,53,Turismo,C,Concorrente lançou um novo produto.
Empresa 809,385189,140129,116,Transportes,C,Inconsistências financeiras apontadas em auditoria.
Empresa 810,184157,501645,53,Agronegócio,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 811,718144,322426,98,Serviços,B,Oportunidades de parcerias surgindo.
Empresa 812,891970,322112,62,Indústria,A-,Aumento no custo das matérias-primas.
Empresa 813,328866,455768,58,Serviços,B+,Insatisfação de clientes em redes sociais.
Empresa 814,764781,476314,37,Agronegócio,C-,Concorrente lançou um novo produto.
Empresa 815,884618,682716,84,Agronegócio,A+,Concorrente lançou um novo produto.
Empresa 816,988969,471704,115,Saúde,B+,Mudanças na legislação para o setor.
Empresa 817,658873,578436,41,Tecnologia,B-,Expansão em novos mercados anunciada.
Empresa 818,314471,338492,25,Tecnologia,C-,Insatisfação de clientes em redes sociais.
Empresa 819,893066,384985,60,Alimentação,A,Inconsistências financeiras apontadas em auditoria.
Empresa 820,445353,491181,11,Turismo,A-,Insatisfação de clientes em redes sociais.
Empresa 821,849470,520103,52,Turismo,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 822,639322,299175,11,Turismo,A,Aumento no custo das matérias-primas.
Empresa 823,466506,596297,32,Alimentação,B,Expansão em novos mercados anunciada.
Empresa 824,925718,598807,109,Serviços,C+,Mudanças na legislação para o setor.
Empresa 825,741108,357084,42,Turismo,A+,Concorrente lançou um novo produto.
Empresa 826,339872,353931,80,Transportes,C-,Cuidado com flutuações nos preços!
Empresa 827,214900,394161,108,Indústria,C+,Aumento no custo das matérias-primas.
Empresa 828,665737,570463,12,Turismo,B-,Oportunidades de parcerias surgindo.
Empresa 829,464754,360416,103,Tecnologia,A+,Cuidado com flutuações nos preços!
Empresa 830,213941,120102,55,Tecnologia,C,Mudanças na legislação para o setor.
Empresa 831,299365,416787,117,Transportes,A,Insatisfação de clientes em redes sociais.
Empresa 832,580511,569991,117,Saúde,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 833,343000,183549,33,Saúde,B+,Cuidado com flutuações nos preços!
Empresa 834,371689,112647,45,Saúde,C,Insatisfação de clientes em redes sociais.
Empresa 835,112599,560552,93,Saúde,C,Aumento no custo das matérias-primas.
Empresa 836,204460,270226,93,Saúde,B,Concorrente lançou um novo produto.
Empresa 837,975005,523834,41,Comércio,B-,Insatisfação de clientes em redes sociais.
Empresa 838,242166,260900,75,Agronegócio,C-,Cuidado com flutuações nos preços!
Empresa 839,105793,325205,46,Saúde,A-,Insatisfação de clientes em redes sociais.
Empresa 840,526660,550198,47,Comércio,B,Inconsistências financeiras apontadas em auditoria.
Empresa 841,845520,473145,89,Indústria,B+,Oportunidades de parcerias surgindo.
Empresa 842,276029,289196,11,Tecnologia,C+,Expansão em novos mercados anunciada.
Empresa 843,339716,104300,102,Tecnologia,D,Expansão em novos mercados anunciada.
Empresa 844,341364,608799,49,Comércio,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 845,391585,148590,15,Comércio,A-,Mudanças na legislação para o setor.
Empresa 846,893956,141988,41,Alimentação,A,Aumento no custo das matérias-primas.
Empresa 847,305122,500377,16,Indústria,C,Concorrente lançou um novo produto.
Empresa 848,998995,556870,104,Turismo,C+,Cuidado com flutuações nos preços!
Empresa 849,762019,612004,94,Turismo,A-,Expansão em novos mercados anunciada.
Empresa 850,724944,266325,72,Turismo,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 851,267021,523013,51,Indústria,C,Cuidado com flutuações nos preços!
Empresa 852,820882,199884,28,Saúde,C+,Concorrente lançou um novo produto.
Empresa 853,320295,286286,52,Comércio,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 854,325433,185431,54,Turismo,A+,Expansão em novos mercados anunciada.
Empresa 855,153339,402732,11,Turismo,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 856,663106,137990,12,Saúde,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 857,854642,605283,45,Serviços,C-,Concorrente lançou um novo produto.
Empresa 858,612334,699963,18,Turismo,B+,Oportunidades de parcerias surgindo.
Empresa 859,714307,217185,55,Alimentação,B-,Mudanças na legislação para o setor.
Empresa 860,436615,583976,102,Alimentação,A,Concorrente lançou um novo produto.
Empresa 861,480679,407581,112,Turismo,D,Insatisfação de clientes em redes sociais.
Empresa 862,909808,495700,111,Indústria,D,Insatisfação de clientes em redes sociais.
Empresa 863,491625,204082,42,Agronegócio,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 864,390135,139705,12,Educação,D,Aumento no custo das matérias-primas.
Empresa 865,925659,607977,115,Tecnologia,C,Aumento no custo das matérias-primas.
Empresa 866,320037,580221,62,Educação,C+,Oportunidades de parcerias surgindo.
Empresa 867,672155,278421,87,Alimentação,B,Concorrente lançou um novo produto.
Empresa 868,262412,187323,23,Educação,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 869,823885,151646,93,Agronegócio,B+,Expansão em novos mercados anunciada.
Empresa 870,907646,403376,117,Agronegócio,A+,Mudanças na legislação para o setor.
Empresa 871,192070,545248,28,Educação,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 872,453311,382437,40,Agronegócio,A+,Insatisfação de clientes em redes sociais.
Empresa 873,191503,279759,102,Turismo,A,Concorrente lançou um novo produto.
Empresa 874,329018,291861,70,Transportes,C-,Expansão em novos mercados anunciada.
Empresa 875,581831,269759,56,Serviços,B+,Expansão em novos mercados anunciada.
Empresa 876,134480,375293,64,Tecnologia,A-,Cuidado com flutuações nos preços!
Empresa 877,524436,169885,40,Serviços,B+,Expansão em novos mercados anunciada.
Empresa 878,560118,421622,118,Comércio,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 879,886415,402631,21,Educação,A,Expansão em novos mercados anunciada.
Empresa 880,699761,665771,28,Educação,A+,Expansão em novos mercados anunciada.
Empresa 881,797847,539156,98,Turismo,D,Insatisfação de clientes em redes sociais.
Empresa 882,863713,503801,96,Agronegócio,B,Expansão em novos mercados anunciada.
Empresa 883,824397,514446,34,Indústria,B+,Mudanças na legislação para o setor.
Empresa 884,468661,242245,84,Serviços,C-,Concorrente lançou um novo produto.
Empresa 885,772220,470245,113,Tecnologia,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 886,780521,190497,66,Serviços,D,Cuidado com flutuações nos preços!
Empresa 887,636600,210216,37,Serviços,D,Inconsistências financeiras apontadas em auditoria.
Empresa 888,753447,149378,94,Alimentação,B-,Oportunidades de parcerias surgindo.
Empresa 889,166307,350583,111,Educação,C-,Insatisfação de clientes em redes sociais.
Empresa 890,482052,125147,91,Educação,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 891,508103,549928,42,Turismo,B+,Aumento no custo das matérias-primas.
Empresa 892,633863,118533,76,Turismo,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 893,263499,404501,18,Educação,B-,Cuidado com flutuações nos preços!
Empresa 894,309889,599300,46,Tecnologia,C+,Setor afetado por mudanças climáticas.
Empresa 895,880808,150974,39,Indústria,B+,Mudanças na legislação para o setor.
Empresa 896,955786,693178,115,Comércio,A-,Expansão em novos mercados anunciada.
Empresa 897,341396,394943,16,Saúde,D,Expansão em novos mercados anunciada.
Empresa 898,590148,627389,87,Agronegócio,D,Cuidado com flutuações nos preços!
Empresa 899,152429,550053,35,Saúde,B,Cuidado com flutuações nos preços!
Empresa 900,721029,377615,81,Educação,C+,Setor afetado por mudanças climáticas.
Empresa 901,616813,235457,119,Saúde,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 902,197127,449280,40,Transportes,B-,Cuidado com flutuações nos preços!
Empresa 903,462511,186738,118,Transportes,D,Insatisfação de clientes em redes sociais.
Empresa 904,403163,411861,37,Tecnologia,C+,Setor afetado por mudanças climáticas.
Empresa 905,288878,150236,50,Agronegócio,D,Concorrente lançou um novo produto.
Empresa 906,135258,246800,79,Comércio,A-,Concorrente lançou um novo produto.
Empresa 907,684097,339829,90,Serviços,D,Concorrente lançou um novo produto.
Empresa 908,477465,517488,49,Serviços,B-,Cuidado com flutuações nos preços!
Empresa 909,138732,387022,51,Turismo,B,Mudanças na legislação para o setor.
Empresa 910,779126,186848,65,Comércio,B+,Expansão em novos mercados anunciada.
Empresa 911,907549,141764,17,Saúde,C,Aumento no custo das matérias-primas.
Empresa 912,249135,157098,77,Comércio,A,Expansão em novos mercados anunciada.
Empresa 913,606004,651421,100,Alimentação,D,Insatisfação de clientes em redes sociais.
Empresa 914,244562,524496,118,Educação,A+,Expansão em novos mercados anunciada.
Empresa 915,977348,400995,93,Serviços,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 916,604175,233179,48,Turismo,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 917,202153,377936,108,Comércio,C-,Cuidado com flutuações nos preços!
Empresa 918,272442,217867,115,Alimentação,B-,Concorrente lançou um novo produto.
Empresa 919,525285,339404,115,Indústria,C-,Oportunidades de parcerias surgindo.
Empresa 920,937556,403846,76,Comércio,A-,Setor afetado por mudanças climáticas.
Empresa 921,178474,411350,45,Transportes,C,Cuidado com flutuações nos preços!
Empresa 922,888845,278723,40,Saúde,A,Setor afetado por mudanças climáticas.
Empresa 923,501116,309350,76,Comércio,C,Aumento no custo das matérias-primas.
Empresa 924,704485,463100,119,Educação,C-,Mudanças na legislação para o setor.
Empresa 925,827519,140433,40,Serviços,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 926,647746,379785,74,Transportes,A-,Oportunidades de parcerias surgindo.
Empresa 927,851938,414494,27,Transportes,C,Insatisfação de clientes em redes sociais.
Empresa 928,476919,623080,71,Comércio,D,Cuidado com flutuações nos preços!
Empresa 929,954172,321423,56,Saúde,B+,Cuidado com flutuações nos preços!
Empresa 930,984826,400287,96,Turismo,B-,Insatisfação de clientes em redes sociais.
Empresa 931,381112,188906,104,Serviços,C,Mudanças na legislação para o setor.
Empresa 932,381325,582895,42,Tecnologia,B+,Concorrente lançou um novo produto.
Empresa 933,499071,227087,61,Educação,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 934,514817,174534,45,Alimentação,C-,Aumento no custo das matérias-primas.
Empresa 935,595211,597566,23,Transportes,C-,Insatisfação de clientes em redes sociais.
Empresa 936,654782,159160,68,Indústria,D,Expansão em novos mercados anunciada.
Empresa 937,565173,534518,117,Turismo,A,Aumento no custo das matérias-primas.
Empresa 938,409392,418961,64,Indústria,B-,Mudanças na legislação para o setor.
Empresa 939,683739,640396,39,Comércio,A,Expansão em novos mercados anunciada.
Empresa 940,203824,157580,118,Comércio,B-,Aumento no custo das matérias-primas.
Empresa 941,402034,311600,20,Transportes,B+,Mudanças na legislação para o setor.
Empresa 942,945580,498447,101,Educação,A,Concorrente lançou um novo produto.
Empresa 943,872013,414975,55,Serviços,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 944,843132,450492,75,Agronegócio,B,Concorrente lançou um novo produto.
Empresa 945,229403,314550,57,Serviços,B+,Cuidado com flutuações nos preços!
Empresa 946,565044,166231,62,Turismo,A-,Setor afetado por mudanças climáticas.
Empresa 947,673652,473099,58,Transportes,B,Concorrente lançou um novo produto.
Empresa 948,195004,437736,40,Educação,B,Mudanças na legislação para o setor.
Empresa 949,582552,550878,43,Alimentação,D,Aumento no custo das matérias-primas.
Empresa 950,701206,243322,68,Serviços,A-,Concorrente lançou um novo produto.
Empresa 951,592586,664452,80,Turismo,B,Aumento no custo das matérias-primas.
Empresa 952,904421,108535,57,Transportes,A,Setor afetado por mudanças climáticas.
Empresa 953,941022,510179,118,Transportes,D,Concorrente lançou um novo produto.
Empresa 954,533233,682555,119,Educação,B+,Setor afetado por mudanças climáticas.
Empresa 955,432625,157185,47,Alimentação,C+,Aumento no custo das matérias-primas.
Empresa 956,967560,191278,80,Alimentação,A-,Insatisfação de clientes em redes sociais.
Empresa 957,968755,459098,88,Serviços,B-,Oportunidades de parcerias surgindo.
Empresa 958,225980,329656,22,Tecnologia,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 959,338181,306089,75,Saúde,A,Aumento no custo das matérias-primas.
Empresa 960,646152,344088,26,Educação,B,Aumento no custo das matérias-primas.
Empresa 961,770433,525946,117,Indústria,C-,Oportunidades de parcerias surgindo.
Empresa 962,348471,272076,83,Saúde,A,Setor afetado por mudanças climáticas.
Empresa 963,817048,519624,87,Saúde,B,Setor afetado por mudanças climáticas.
Empresa 964,743607,186536,83,Serviços,A+,Insatisfação de clientes em redes sociais.
Empresa 965,429804,223709,62,Transportes,C,Inconsistências financeiras apontadas em auditoria.
Empresa 966,746261,101123,48,Agronegócio,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 967,777755,530392,25,Agronegócio,C,Insatisfação de clientes em redes sociais.
Empresa 968,478414,158001,116,Serviços,B-,Cuidado com flutuações nos preços!
Empresa 969,526195,522390,39,Saúde,A+,Aumento no custo das matérias-primas.
Empresa 970,286713,269756,12,Comércio,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 971,792017,615365,21,Indústria,C-,Aumento no custo das matérias-primas.
Empresa 972,896807,435283,49,Educação,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 973,679232,615800,101,Turismo,A-,Cuidado com flutuações nos preços!
Empresa 974,399732,466300,110,Turismo,D,Inconsistências financeiras apontadas em auditoria.
Empresa 975,922816,178487,117,Serviços,D,Mudanças na legislação para o setor.
Empresa 976,563830,475311,91,Indústria,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 977,595591,589383,107,Agronegócio,A,Insatisfação de clientes em redes sociais.
Empresa 978,682043,584325,116,Tecnologia,A+,Oportunidades de parcerias surgindo.
Empresa 979,414626,412475,17,Saúde,B-,Insatisfação de clientes em redes sociais.
Empresa 980,982484,457533,116,Serviços,B-,Concorrente lançou um novo produto.
Empresa 981,397001,602926,32,Alimentação,B+,Setor afetado por mudanças climáticas.
Empresa 982,926584,176828,19,Agronegócio,D,Setor afetado por mudanças climáticas.
Empresa 983,654211,191118,38,Indústria,A,Setor afetado por mudanças climáticas.
Empresa 984,178850,494492,27,Alimentação,B,Cuidado com flutuações nos preços!
Empresa 985,748228,676630,70,Agronegócio,C-,Cuidado com flutuações nos preços!
Empresa 986,688775,567541,96,Turismo,A,Insatisfação de clientes em redes sociais.
Empresa 987,501577,625654,46,Tecnologia,C-,Aumento no custo das matérias-primas.
Empresa 988,528966,585498,13,Transportes,A-,Setor afetado por mudanças climáticas.
Empresa 989,166929,212993,105,Transportes,C,Expansão em novos mercados anunciada.
Empresa 990,256135,676994,62,Saúde,B,Insatisfação de clientes em redes sociais.
Empresa 991,954997,368015,91,Alimentação,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 992,219129,399709,59,Serviços,C+,Oportunidades de parcerias surgindo.
Empresa 993,531462,602835,43,Educação,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 994,142980,232615,11,Educação,C,Concorrente lançou um novo produto.
Empresa 995,177408,513140,60,Comércio,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 996,537496,388780,48,Comércio,B,Mudanças na legislação para o setor.
Empresa 997,533872,171790,25,Serviços,A+,Aumento no custo das matérias-primas.
Empresa 998,189779,101502,43,Tecnologia,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 999,770917,188475,28,Turismo,D,Cuidado com flutuações nos preços!
Empresa 1000,464330,445725,110,Indústria,C,Setor afetado por mudanças climáticas.
Empresa 1001,537548,145551,15,Educação,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 1002,466985,174470,30,Saúde,A+,Aumento no custo das matérias-primas.
Empresa 1003,816581,128788,88,Saúde,B-,Concorrente lançou um novo produto.
Empresa 1004,205144,497104,62,Turismo,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 1005,940322,141481,97,Turismo,A-,Mudanças na legislação para o setor.
Empresa 1006,493367,683851,35,Agronegócio,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 1007,753533,639844,93,Turismo,B,Expansão em novos mercados anunciada.
Empresa 1008,803171,188952,107,Transportes,D,Oportunidades de parcerias surgindo.
Empresa 1009,319477,581806,49,Comércio,D,Setor afetado por mudanças climáticas.
Empresa 1010,153741,524451,51,Saúde,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 1011,476732,309056,31,Indústria,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 1012,224296,581866,30,Comércio,A+,Cuidado com flutuações nos preços!
Empresa 1013,497207,284788,84,Serviços,B,Insatisfação de clientes em redes sociais.
Empresa 1014,329253,358501,84,Alimentação,C+,Aumento no custo das matérias-primas.
Empresa 1015,491494,546258,109,Saúde,A+,Concorrente lançou um novo produto.
Empresa 1016,973850,569272,75,Educação,C,Aumento no custo das matérias-primas.
Empresa 1017,294378,373986,96,Agronegócio,A+,Setor afetado por mudanças climáticas.
Empresa 1018,885410,193856,45,Turismo,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 1019,727316,432386,38,Serviços,A-,Insatisfação de clientes em redes sociais.
Empresa 1020,390699,244174,99,Alimentação,C,Setor afetado por mudanças climáticas.
Empresa 1021,516679,357681,24,Agronegócio,B-,Cuidado com flutuações nos preços!
Empresa 1022,878651,352538,33,Serviços,C-,Cuidado com flutuações nos preços!
Empresa 1023,573501,503439,43,Indústria,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 1024,138894,351048,89,Transportes,C+,Setor afetado por mudanças climáticas.
Empresa 1025,211767,396456,77,Serviços,C-,Setor afetado por mudanças climáticas.
Empresa 1026,110875,387088,102,Turismo,A-,Oportunidades de parcerias surgindo.
Empresa 1027,814137,177924,16,Turismo,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 1028,649739,646051,73,Saúde,C,Inconsistências financeiras apontadas em auditoria.
Empresa 1029,758042,148410,51,Turismo,B+,Setor afetado por mudanças climáticas.
